,Частота
заводскую,1
дорогу,2
непрерывно,1
встает,4
кассы,2
ищет,1
кармане,3
узенькую,1
щелочку,2
живем,1
луне,1
деньги,1
кислород,1
отпущенный,1
нам,16
баллонах,1
читальном,2
зале,3
особенно,5
земные,2
сидят,3
чулках,1
футляры,1
скрипок,1
лежат,4
боку,1
голубой,3
коляске,3
соской,2
тихих,3
глазах,7
отражаются,1
птицы,6
плывущие,2
высоко,3
наклонившись,2
вдруг,12
самого,5
стареньком,2
пальто,3
очереди,3
вермишелью,2
здесь,33
почитательницы,1
поэту,5
немного,6
стыдно,1
стоял,1
эстраде,1
принц,1
который,15
никогда,6
ест,1
молодые,4
похожи,3
лицом,2
ветер,6
потом,6
получаются,1
верные,2
жены,1
которых,13
дома,4
мебель,2
хозяйственные,1
сумки,1
дочери,1
весенние,2
ручейки,1
помню,8
детства,4
запах,5
полол,1
перчатках,1
меха,1
крота,1
положил,1
кто-нибудь,1
щеку,1
памяти,3
эрны,1
отрывок,3
трудиться,3
порой,2
улыбаться,1
выйти,3
замуж,1
рожать,1
детей,4
посылать,2
письма,4
превратиться,1
снова,1
землю,8
таится,1
некий,3
упорный,1
смысл,5
ищу,1
нести,5
собой,7
дали,4
соленый,1
кедров,1
чтобы,28
выросших,1
среди,10
городских,1
камней,1
бледных,1
перехватило,1
изысканных,1
нарядах,1
глядели,1
очарованные,1
возьму,1
бледнее,1
москва,8
эскалаторе,2
глядят,1
вперед,2
будто,7
вечность,2
сосредоточенные,1
свободные,1
мелочей,2
изобразят,1
мозаиках,1
будущего,3
сходим,1
лестницы,1
становимся,1
людьми,1
трамваи,2
магазины,1
кастрюли,1
хожу,1
марсианин,1
памятников,1
непонятной,1
поставленной,1
наспех,1
потребностей,1
тихим,2
углам,2
кристаллы,2
музыки,6
поэтов,28
любящих,2
простоты,2
ее,37
истокам,3
домой,7
садовник,1
собирает,3
книги,7
мать,3
полнеет,1
задыхается,1
мою,10
поэзию,7
запутанную,1
поиски,1
день,19
искал,4
одиночества,1
слушать,1
гудишь,1
орган,1
высокой,2
церкви,3
огромном,2
столько,5
красивых,2
любуюсь,1
ими,2
устали,1
улыбаются,2
вполне,2
счастлив,1
вечеру,2
замечаю,1
остался,3
личность,5
мгновенна,4
улицах,4
подобно,4
вспышке,2
магния,2
городские,3
соловьи,3
визжат,3
пронзительно,3
тормоза,3
бегут,3
светофоры,1
футболисты,1
мячом,1
дух,8
созерцания,3
действия,2
делает,6
духа,3
тоскуем,1
неполноты,1
разделенном,1
мире,10
многие,6
вещи,4
ищут,2
друг,10
друга,6
могилы,2
сровняются,2
землей,2
когда-нибудь,4
будем,4
седой,3
древностью,3
спасет,3
наше,4
лицо,5
соберет,3
соль,3
слез,3
золотую,3
пыль,4
улыбок,5
